"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team","biggest_lead"
"2017",681985,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",75,63,12,"W","199:56","26","66","39","8","17","47","18","49","36","15","23","65","27","17","44","18","11","8","4","1","15","19","75","9","11","11","15","24","37.922666666667","8","1","0","5","3","2","1","23"
"2017",803100,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",92,76,16,"W","199:55","33","65","50","12","27","44","21","38","55","14","17","82","29","12","41","27","19","11","7","2","21","17","92","17","15","10","32","30","35.661666666667","9","7","6","7","4","3","1","24"
"2017",803100,"Perth Lynx","Lynx","away","Melbourne Boomers","Boomers",76,92,-16,"L","199:56","28","80","35","10","28","35","18","52","34","10","15","66","22","23","45","11","18","10","2","7","17","21","76","17","9","17","15","18","0.82616666666666","7","7","6","9","4","5","0","2"
"2017",803093,"Perth Lynx","Lynx","home","Melbourne Boomers","Boomers",59,57,2,"W","166:25","25","66","37","4","14","28","21","52","40","5","10","50","26","14","40","8","9","8","3","3","11","10","59","12","2","10","2","34","17.163","13","13","5","3","2","1","0","9"
"2017",803093,"Melbourne Boomers","Boomers","away","Perth Lynx","Lynx",57,59,-2,"L","166:27","23","62","37","4","17","23","19","45","42","7","10","70","28","12","40","18","11","5","3","3","10","11","57","6","7","6","7","28","12.472833333333","7","13","5","2","2","0","0","8"
"2017",803092,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",78,49,29,"W","200:01","33","74","44","4","18","22","29","56","51","8","9","88","45","13","58","17","11","3","4","4","8","10","78","15","8","6","33","50","30.301166666667","14","1","1","4","3","1","0","34"
"2017",803092,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",49,78,-29,"L","199:59","20","83","24","8","30","26","12","53","22","1","2","50","29","18","47","12","12","5","4","4","10","8","49","9","10","3","14","18","8.7571666666667","5","1","1","4","4","0","1","8"
"2017",803094,"Sydney Uni Flames","Flames","home","Townsville Fire","Fire",65,68,-3,"L","199:56","25","71","35","5","19","26","20","52","38","10","11","90","31","18","49","19","19","12","2","7","8","14","65","15","20","16","10","30","16.223333333333","7","10","6","3","0","3","0","5"
"2017",803094,"Townsville Fire","Fire","away","Sydney Uni Flames","Flames",68,65,3,"W","199:56","28","68","41","6","20","30","22","48","45","6","8","75","26","11","37","21","16","11","7","2","14","8","68","15","10","10","19","34","20.0945","9","10","6","5","4","1","0","6"
"2017",803097,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",69,64,5,"W","199:56","26","71","36","9","21","42","17","50","34","8","8","100","39","11","50","18","15","6","2","7","8","9","69","9","10","13","19","24","23.4405","8","12","3","8","6","2","0","9"
"2017",803097,"Melbourne Boomers","Boomers","away","Townsville Fire","Fire",64,69,-5,"L","199:55","29","81","35","3","23","13","26","58","44","3","5","60","35","14","49","18","11","9","7","2","9","8","64","17","14","2","10","38","14.901","7","12","3","2","1","1","1","6"
"2017",803099,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",70,57,13,"W","199:55","25","67","37","5","21","23","20","46","43","15","19","78","39","11","50","16","12","4","1","5","18","17","70","7","16","5","18","30","36.929","9","3","3","5","2","3","0","15"
