"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","first_name","family_name","scoreboard_name","shirt_number"
2018,913475,69,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","jumpshot",1,2,92,40,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,86,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",0,0,72,27,"Antonia","Farnworth","A. Farnworth",7
2018,913475,95,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","drivinglayup",1,2,94,45,"Asia","Taylor","A. Taylor",31
2018,913475,100,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","jumpshot",0,0,77,71,"Asia","Taylor","A. Taylor",31
2018,913475,102,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","drivinglayup",1,2,93,45,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,109,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",1,3,75,19,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,129,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"3pt","jumpshot",0,0,77,86,"Antonia","Farnworth","A. Farnworth",7
2018,913475,133,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",1,"2pt","jumpshot",0,0,93,55,"Brittany","McPhee","B. McPhee",24
2018,913475,146,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,95,44,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,148,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",0,0,72,76,"Brittany","McPhee","B. McPhee",24
2018,913475,152,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",1,3,80,11,"Brittany","McPhee","B. McPhee",24
2018,913475,167,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",1,2,92,54,"Kayla","Steindl","K. Steindl",12
2018,913475,176,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,88,45,"Antonia","Farnworth","A. Farnworth",7
2018,913475,180,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,94,31,"Katie","Ebzery","K. Ebzery",10
2018,913475,184,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,93,58,"Antonia","Farnworth","A. Farnworth",7
2018,913475,188,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,95,57,"Brittany","McPhee","B. McPhee",24
2018,913475,203,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",1,2,85,53,"Antonia","Farnworth","A. Farnworth",7
2018,913475,208,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,88,34,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,219,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",0,0,68,59,"Kayla","Steindl","K. Steindl",12
2018,913475,221,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",0,0,74,83,"Alison","Schwagmeyer","A. Schwagmeyer",32
2018,913475,225,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",0,0,71,73,"Kayla","Steindl","K. Steindl",12
2018,913475,237,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,94,69,"Asia","Taylor","A. Taylor",31
2018,913475,240,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,94,46,"Asia","Taylor","A. Taylor",31
2018,913475,242,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","layup",1,2,94,50,"Asia","Taylor","A. Taylor",31
2018,913475,268,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"2pt","jumpshot",0,0,83,62,"Katie","Ebzery","K. Ebzery",10
2018,913475,272,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",2,"3pt","jumpshot",0,0,26,23,"Antonia","Farnworth","A. Farnworth",7
2018,913475,285,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",3,"2pt","jumpshot",0,0,6,92,"Antonia","Farnworth","A. Farnworth",7
2018,913475,299,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning","REGULAR",3,"2pt","jumpshot",1,2,9,48,"Asia","Taylor","A. Taylor",31
