"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330514,"Melbourne Boomers","Boomers","away","Southside Flyers","Flyers",82,89,-7,"L","200:00","34","72","47","7","20","35","27","52","51","7","9","77","24","13","37","21","11","7","1","3","18","11","19","82","12","12","4","13","46","2.3083333333333","3","14","7","7","1","5","3","2","1"
"2019",1330515,"Sydney Uni Flames","Flames","home","Adelaide Lightning","Lightning",81,69,12,"W","200:00","29","64","45","6","21","28","23","43","53","17","27","62","33","13","46","16","11","2","5","2","11","23","11","81","7","14","7","8","40","19.533333333333","12","7","10","3","0","3","3","0","0"
"2019",1330515,"Adelaide Lightning","Lightning","away","Sydney Uni Flames","Flames",69,81,-12,"L","200:00","30","77","38","5","22","22","25","55","45","4","7","57","25","14","39","19","8","3","2","5","23","11","23","69","8","12","10","4","48","18.483333333333","9","10","10","3","0","3","2","1","0"
"2019",1330516,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",94,80,14,"W","200:00","35","70","50","17","42","40","18","28","64","7","13","53","23","10","33","25","8","11","1","1","17","18","17","94","22","14","3","11","32","37.151666666667","25","11","4","1","0","4","4","0","0"
"2019",1330516,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",80,94,-14,"L","200:00","30","64","46","10","24","41","20","40","50","10","12","83","27","11","38","20","14","3","1","1","18","17","18","80","2","12","6","45","34","2.2283333333333","2","10","4","1","0","5","4","1","0"
"2019",1330518,"Southside Flyers","Flyers","home","Townsville Fire","Fire",81,62,19,"W","200:00","33","74","44","8","22","36","25","52","48","7","11","63","25","16","41","17","10","6","1","1","18","16","18","81","21","12","5","20","36","34.333333333333","23","9","11","2","0","2","0","2","0"
"2019",1330518,"Townsville Fire","Fire","away","Southside Flyers","Flyers",62,81,-19,"L","200:00","22","54","40","7","20","35","15","34","44","11","16","68","29","9","38","18","18","3","1","1","16","18","16","62","8","6","4","11","26","4.7666666666667","5","6","11","2","0","4","1","3","1"
"2019",1330519,"Adelaide Lightning","Lightning","home","Bendigo Spirit","Spirit",91,75,16,"W","200:00","33","73","45","10","20","50","23","53","43","15","24","62","35","13","48","26","11","8","6","3","14","22","14","91","17","12","21","19","40","39.533333333333","26","14","0","0","0","7","4","3","0"
"2019",1330519,"Bendigo Spirit","Spirit","away","Adelaide Lightning","Lightning",75,91,-16,"L","200:00","28","72","38","10","23","43","18","49","36","9","13","69","32","10","42","18","14","7","3","6","22","14","22","75","8","6","6","35","32","0",,"8","0","0","0","6","3","3","0"
"2019",1330520,"Perth Lynx","Lynx","home","Melbourne Boomers","Boomers",68,66,2,"W","200:00","24","67","35","9","27","33","15","40","37","11","18","61","32","15","47","17","13","7","5","2","12","22","12","68","18","6","2","21","26","17.308333333333","8","9","19","5","0","5","3","2","0"
"2019",1330520,"Melbourne Boomers","Boomers","away","Perth Lynx","Lynx",66,68,-2,"L","200:00","24","67","35","6","21","28","18","46","39","12","16","75","31","14","45","20","16","6","2","5","22","12","22","66","5","15","6","9","30","19.668333333333","7","10","19","5","0","5","2","3","0"
"2019",1330521,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",61,57,4,"W","200:00","22","69","31","7","30","23","15","39","38","10","12","83","35","19","54","16","14","7","1","3","19","15","19","61","4","12","11","6","26","29.136666666667","8","7","11","7","0","4","2","2","1"
"2019",1330521,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",57,61,-4,"L","200:00","20","60","33","7","23","30","13","37","35","10","16","62","28","6","34","11","10","7","3","1","15","19","15","57","13","5","9","6","18","8.5166666666667","6","8","11","7","0","4","3","1","0"
"2019",1330522,"UC Capitals","Capitals","home","Southside Flyers","Flyers",65,70,-5,"L","200:00","27","78","34","4","20","20","23","58","39","7","11","63","33","15","48","16","11","9","2","5","18","17","18","65","13","12","6","13","44","20.641666666667","5","6","21","5","0","7","2","5","0"
"2019",1330522,"Southside Flyers","Flyers","away","UC Capitals","Capitals",70,65,5,"W","200:00","26","67","38","3","10","30","23","57","40","15","16","93","38","8","46","12","14","6","5","2","17","18","17","70","11","7","9","6","38","16.941666666667","7","6","21","5","0","3","2","1","0"
"2019",1330523,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",81,88,-7,"L","200:00","31","76","40","9","18","50","22","58","37","10","11","90","21","18","39","16","11","6","1","2","21","14","21","81","15","18","8","31","42","23.165","10","11","11","5","0","5","2","3","0"
