"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","efficiency_custom","turnovers_team"
"2016",311873,"Dandenong Rangers","Rangers","home","Adelaide Lightning","Lightning",73,80,-7,"L","199:55","28","73","38","3","17","17","25","56","44","14","15","93","22","16","38","17","16","12","1","4","19","18","73","15","14","12","16","34","1.2976666666667","3","9","5","2","5","2","3","0","1"
"2016",311873,"Adelaide Lightning","Lightning","away","Dandenong Rangers","Rangers",80,73,7,"W","199:56","28","63","44","8","17","47","20","46","43","16","20","80","27","13","40","20","17","12","4","1","18","19","80","15","12","5","25","30","36.267166666667","19","9","5","2","8","5","3","0","1"
"2016",311874,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals",73,76,-3,"L","199:56","28","65","43","7","19","36","21","46","45","10","12","83","23","16","39","17","15","11","4","7","15","17","73","12","6","2","22","34","1.5041666666667","2","7","7","4","9","2","7","0","1"
"2016",311874,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames",76,73,3,"W","199:55","27","59","45","13","19","68","14","40","35","9","11","81","22","9","31","17","13","5","7","3","17","15","76","16","7","0","25","8","36.0025","14","10","7","4","3","3","0","0","0"
"2016",311875,"Adelaide Lightning","Lightning","home","Sydney Uni Flames","Flames",74,77,-3,"L","199:57","31","66","46","6","15","40","25","51","49","6","13","46","26","16","42","21","13","3","4","3","15","15","74","9","8","0","23","32","17.434166666667","8","7","18","5","6","4","2","0","1"
"2016",311875,"Sydney Uni Flames","Flames","away","Adelaide Lightning","Lightning",77,74,3,"W","199:56","31","69","44","6","18","33","25","51","49","9","11","81","21","11","32","15","9","6","3","4","15","15","77","16","12","2","27","46","18.7105","8","6","18","5","2","2","0","0","1"
"2016",311876,"Bendigo Spirit","Spirit","home","Sydney Uni Flames","Flames",68,71,-3,"L","199:56","23","58","39","5","19","26","18","39","46","17","21","80","21","9","30","16","16","9","4","2","17","24","68","15","8","6","14","22","0",,"8","1","1","4","2","2","0","0"
"2016",311876,"Sydney Uni Flames","Flames","away","Bendigo Spirit","Spirit",71,68,3,"W","199:55","24","57","42","9","19","47","15","38","39","14","16","87","27","9","36","18","22","9","2","4","24","17","71","17","9","2","19","24","39.6","12","11","1","1","6","5","1","0","0"
"2016",311877,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers",73,61,12,"W","224:56","24","56","42","11","21","52","13","35","37","14","21","66","32","6","38","18","19","11","0","3","15","24","73","17","9","4","18","24","23.6795","12","15","14","8","4","4","0","0","1"
"2016",311877,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers",61,73,-12,"L","224:54","24","73","32","8","21","38","16","52","30","5","7","71","28","16","44","15","23","8","4","0","24","15","61","17","8","2","17","24","16.469","9","10","14","8","6","2","4","0","2"
"2016",311878,"UC Capitals","Capitals","home","Townsville Fire","Fire",73,67,6,"W","199:55","26","64","40","5","12","41","21","52","40","16","21","76","28","7","35","9","14","8","6","1","16","21","73","14","7","4","25","30","38.129166666667","10","6","4","3","0","0","0","0","1"
"2016",311878,"Townsville Fire","Fire","away","UC Capitals","Capitals",67,73,-6,"L","199:56","26","65","40","3","14","21","23","51","45","12","13","92","29","9","38","13","17","6","1","6","21","16","67","7","9","2","4","44","0.25166666666667","1","7","4","3","0","0","0","0","0"
"2016",311879,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",87,67,20,"W","199:54","34","74","45","4","17","23","30","57","52","15","17","88","24","17","41","17","9","7","1","1","14","14","87","24","19","0","15","52","37.9645","22","10","5","1","7","3","4","0","1"
