"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","first_name","family_name","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Jenna","O'Hea","J. O'Hea","","1","34:21","11","2","0","4","5","8","62","1","3","33","4","5","80","0","0","0","9","2","11","1","0","2","0","0","1","1","11"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Chelsea","D'Angelo","C. D'Angelo","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Monique","Conti","M. Conti","",,"19:05","8","4","0","0","2","6","33","0","2","0","2","4","50","4","4","100","2","1","3","2","1","1","0","0","3","4","3"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Ashleigh","Grant","A. Grant","",,"21:55","7","1","0","4","3","9","33","0","1","0","3","8","37","1","2","50","3","0","3","0","1","0","1","0","2","1","3"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Madeleine","Garrick","M. Garrick","","1","28:58","10","4","0","2","4","10","40","0","1","0","4","9","44","2","2","100","2","0","2","0","0","0","0","0","1","1","11"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Kalani","Purcell","K. Purcell","","1","22:59","6","2","0","2","2","4","50","1","1","100","1","3","33","1","2","50","7","2","9","4","2","0","1","0","3","1","13"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Courtney","Duever","C. Duever","",,"12:18","2","0","0","0","1","4","25","0","0","0","1","4","25","0","0","0","3","1","4","1","3","0","0","1","1","1","7"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Brittany","Smart","B. Smart","","0","17:41","4","0","0","2","2","5","40","0","1","0","2","4","50","0","0","0","3","1","4","1","4","2","0","0","3","0","5"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Rebecca","Cole","R. Cole","","1","22:57","6","2","0","2","3","10","30","0","1","0","3","9","33","0","0","0","2","2","4","4","2","1","0","1","2","1","-11"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Kasey","Burton","K. Burton","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Rebecca","Ott","R. Ott","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Elizabeth","Cambage","E. Cambage","","1","29:39","15","5","4","10","6","14","42","0","1","0","6","13","46","3","4","75","2","2","4","1","1","1","0","0","2","6","-1"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Jenna","O'Hea","J. O'Hea","","1","36:45","10","2","3","2","3","12","25","1","5","20","2","7","28","3","4","75","10","4","14","3","2","3","1","0","1","2","-11"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Chelsea","D'Angelo","C. D'Angelo","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Monique","Conti","M. Conti","","0","14:11","5","0","2","2","2","5","40","1","2","50","1","3","33","0","0","0","0","0","0","1","1","1","0","1","1","0","-5"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Ashleigh","Grant","A. Grant","","0","15:35","2","0","0","2","1","5","20","0","2","0","1","3","33","0","0","0","3","0","3","0","1","0","0","0","1","2","-3"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Madeleine","Garrick","M. Garrick","","1","30:43","7","0","2","2","2","8","25","1","2","50","1","6","16","2","2","100","3","0","3","1","2","1","0","0","1","2","-5"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Kalani","Purcell","K. Purcell","","1","20:49","4","2","0","4","2","6","33","0","0","0","2","6","33","0","0","0","1","3","4","1","2","1","0","0","2","1","-15"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire","Courtney","Duever","C. Duever","","0","11:34","1","0","0","0","0","2","0","0","1","0","0","1","0","1","2","50","4","2","6","0","0","0","2","0","0","1","1"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Laurin","Mincy","L. Mincy","","1","25:31","8","0","0","6","4","9","44","0","2","0","4","7","57","0","0","0","1","0","1","4","3","1","0","0","1","2","13"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Mikhaela","Donnelly","M. Donnelly","","0","17:42","4","0","0","2","1","3","33","0","0","0","1","3","33","2","2","100","1","0","1","3","0","0","1","0","2","2","-4"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Suzy","Batkovic","S. Batkovic","","1","23:04","5","0","0","0","1","11","9","0","2","0","1","9","11","3","4","75","3","0","3","3","1","1","0","1","4","3","8"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Mia Suzanne","Murray","M. Murray","","1","28:02","9","0","2","2","4","13","30","1","4","25","3","9","33","0","2","0","1","2","3","2","2","2","0","0","1","1","13"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Darcee","Garbin","D. Garbin","","0","18:30","7","2","0","2","3","7","42","1","3","33","2","4","50","0","0","0","1","3","4","0","1","0","0","2","0","2","-9"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Zitina","Aokuso","Z. Aokuso","","0","03:13","2","0","0","2","1","1","100","0","0","0","1","1","100","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Kelly","Wilson","K. Wilson","","1","24:24","3","0","0","0","1","1","100","1","1","100","0","0","0","0","0","0","1","0","1","2","3","0","0","0","2","1","12"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Cayla","George","C. George","","1","35:12","17","4","0","4","7","17","41","3","6","50","4","11","36","0","0","0","19","2","21","2","2","3","1","0","3","2","18"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers","Micaela","Cocks","M. Cocks","","0","24:19","8","0","0","2","3","6","50","2","3","66","1","3","33","0","0","0","1","1","2","0","1","1","0","0","1","0","-7"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Mistie","Bass","M. Bass","","0","25:44","13","4","0","6","6","12","50","0","0","0","6","12","50","1","1","100","5","2","7","2","2","0","1","2","4","2","5"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Eziyoda","Magbegor","E. Magbegor","","0","06:55","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","0","1","0","2","0","1","0","2","0","-6"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Natalie","Hurst","N. Hurst","","1","34:17","10","0","0","2","4","7","57","2","3","66","2","4","50","0","0","0","6","0","6","7","1","1","0","0","0","1","10"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Callie","Bourne","C. Bourne","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Kate","Gaze","K. Gaze","","0","15:09","7","0","0","0","1","2","50","1","1","100","0","1","0","4","4","100","1","0","1","0","1","0","0","0","3","2","2"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning","Rachel","Jarry","R. Jarry","","0","28:43","15","0","2","6","6","9","66","1","1","100","5","8","62","2","4","50","3","1","4","1","0","1","0","0","1","3","6"
