"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2015",137254,"Perth Lynx","Lynx","away","Bendigo Spirit","Spirit",86,73,13,"W","199:55","29","62","46","11","24","45","18","38","47","17","20","85","17","10","27","17","15","12","6","3","17","23","86","21","5","2","27","20"
"2015",137255,"Townsville Fire","Fire","home","Melbourne Boomers","Boomers",85,57,28,"W","199:55","30","72","41","4","13","30","26","59","44","21","24","87","32","19","51","17","20","7","2","8","14","17","85","13","14","0","33","38"
"2015",137255,"Melbourne Boomers","Boomers","away","Townsville Fire","Fire",57,85,-28,"L","199:55","24","72","33","3","20","15","21","52","40","6","7","85","17","10","27","14","14","7","8","2","17","14","57","13","8","0","9","30"
"2015",137256,"Perth Lynx","Lynx","home","Adelaide Lightning","Lightning",93,85,8,"W","199:56","36","66","54","9","25","36","27","41","65","12","17","70","24","11","35","17","21","12","5","1","13","19","93","19","12","2","25","40"
"2015",137256,"Adelaide Lightning","Lightning","away","Perth Lynx","Lynx",85,93,-8,"L","199:56","33","64","51","7","16","43","26","48","54","12","15","80","18","4","22","24","19","14","1","5","19","13","85","21","2","0","23","42"
"2015",137257,"SEQ Stars","Stars","home","Townsville Fire","Fire",85,88,-3,"L","199:56","34","77","44","11","21","52","23","56","41","6","8","75","22","11","33","14","11","7","3","6","22","12","85","16","10","6","34","38"
"2015",137257,"Townsville Fire","Fire","away","SEQ Stars","Stars",88,85,3,"W","199:56","35","67","52","2","10","20","33","57","57","16","19","84","30","7","37","12","19","5","6","3","12","21","88","8","7","2","15","46"
"2015",137258,"Sydney Uni Flames","Flames","home","SEQ Stars","Stars",94,69,25,"W","199:56","34","62","54","8","20","40","26","42","61","18","19","94","36","2","38","21","18","5","5","2","17","22","94","18","0","0","15","28"
"2015",137258,"SEQ Stars","Stars","away","Sydney Uni Flames","Flames",69,94,-25,"L","199:56","26","76","34","4","21","19","22","55","40","13","17","76","16","11","27","11","15","7","2","5","22","17","69","6","8","0","17","36"
"2015",137259,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",78,58,20,"W","199:50","27","59","45","9","19","47","18","40","45","15","17","88","29","11","40","17","14","6","3","3","17","16","78","11","14","0","3","20"
"2015",137259,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",58,78,-20,"L","199:55","22","63","34","6","18","33","16","45","35","8","13","61","16","12","28","17","12","4","3","3","16","17","58","9","9","0","12","28"
"2015",137260,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",63,49,14,"W","199:55","22","63","34","6","18","33","16","45","35","13","16","81","23","12","35","17","20","8","3","4","12","18","63","13","5","7","9","22"
"2015",137260,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",49,63,-14,"L","199:54","20","58","34","0","6","0","20","52","38","9","11","81","25","12","37","4","22","11","4","3","18","12","49","10","4","5","6","24"
"2015",137261,"UC Capitals","Capitals","home","Townsville Fire","Fire",66,84,-18,"L","199:56","25","64","39","3","17","17","22","47","46","13","17","76","17","6","23","10","16","8","0","3","22","18","66","14","4","0","16","36"
"2015",137261,"Townsville Fire","Fire","away","UC Capitals","Capitals",84,66,18,"W","199:55","28","63","44","3","13","23","25","50","50","25","30","83","25","13","38","17","15","9","3","0","19","22","84","15","9","4","16","42"
"2015",137262,"Dandenong Rangers","Rangers","home","Sydney Uni Flames","Flames",85,65,20,"W","199:55","33","68","48","5","13","38","28","55","50","14","17","82","22","8","30","23","10","7","2","2","16","17","85","18","6","10","21","38"
"2015",137262,"Sydney Uni Flames","Flames","away","Dandenong Rangers","Rangers",65,85,-20,"L","199:56","24","58","41","2","18","11","22","40","55","15","16","93","21","7","28","5","18","4","2","2","17","16","65","8","8","11","20","44"
"2015",137263,"Townsville Fire","Fire","home","Perth Lynx","Lynx",91,81,10,"W","199:55","35","68","51","7","21","33","28","47","59","14","18","77","29","9","38","16","13","5","2","2","12","15","91","15","4","10","14","46"
"2015",137263,"Perth Lynx","Lynx","away","Townsville Fire","Fire",81,91,-10,"L","199:56","31","77","40","11","28","39","20","49","40","8","9","88","17","11","28","11","11","4","2","2","15","12","81","17","7","4","6","26"
"2015",137264,"UC Capitals","Capitals","home","Melbourne Boomers","Boomers",61,66,-5,"L","188:46","21","43","48","3","11","27","18","32","56","16","26","61","19","5","24","8","19","4","0","1","21","18","61","4","6","0","9","24"
"2015",137264,"Melbourne Boomers","Boomers","away","UC Capitals","Capitals",66,61,5,"W","201:47","26","50","52","5","10","50","21","40","52","9","16","56","18","6","24","9","12","8","1","0","20","20","66","13","6","0","27","28"
"2015",137265,"Adelaide Lightning","Lightning","home","Bendigo Spirit","Spirit",73,89,-16,"L","199:54","28","75","37","4","13","30","24","62","38","13","21","61","17","15","32","15","14","7","3","6","19","16","73","10","10","0","22","36"
"2015",137265,"Bendigo Spirit","Spirit","away","Adelaide Lightning","Lightning",89,73,16,"W","199:55","33","60","55","10","22","45","23","38","60","13","16","81","26","9","35","20","16","8","6","3","16","19","89","18","14","6","15","32"
"2015",137266,"SEQ Stars","Stars","home","Perth Lynx","Lynx",64,85,-21,"L","199:56","26","70","37","6","20","30","20","50","40","6","10","60","16","11","27","7","16","7","3","4","13","12","64","16","12","0","5","34"
"2015",137266,"Perth Lynx","Lynx","away","SEQ Stars","Stars",85,64,21,"W","199:55","33","67","49","7","21","33","26","46","56","12","14","85","28","15","43","14","20","4","4","3","12","13","85","19","17","2","10","40"
"2015",137267,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",76,82,-6,"L","199:56","26","62","41","6","21","28","20","41","48","18","24","75","18","5","23","11","13","8","1","1","24","23","76","14","0","8","19","34"
"2015",137267,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",82,76,6,"W","199:55","27","55","49","4","11","36","23","44","52","24","29","82","26","8","34","12","21","5","1","1","23","24","82","15","4","0","17","28"
"2015",137268,"Sydney Uni Flames","Flames","home","Adelaide Lightning","Lightning",67,94,-27,"L","199:54","27","61","44","2","13","15","25","48","52","11","13","84","18","5","23","16","11","3","1","5","19","17","67","11","6","0","12","30"
"2015",137268,"Adelaide Lightning","Lightning","away","Sydney Uni Flames","Flames",94,67,27,"W","199:55","37","67","55","6","16","37","31","51","60","14","15","93","26","9","35","20","11","5","5","1","17","19","94","12","6","0","10","48"
"2015",137269,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",68,84,-16,"L","199:56","26","63","41","6","19","31","20","44","45","10","13","76","23","8","31","15","19","6","4","3","17","12","68","7","9","5","12","28"
"2015",137269,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",84,68,16,"W","199:57","28","65","43","12","25","48","16","40","40","16","20","80","25","12","37","18","16","3","3","4","12","17","84","9","8","8","7","28"
"2015",137270,"Dandenong Rangers","Rangers","home","Perth Lynx","Lynx",65,63,2,"W","199:55","26","69","37","2","14","14","24","55","43","11","12","91","31","10","41","11","10","4","3","5","16","16","65","4","2","7","10","32"
