"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2014",64569,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",96,66,30,"W","199:54","33","67","49.3","7","17","41.2","23","28","82.1","29","9","38","21","8","4","4","4","13","20","96","8","12","4","21","46"
"2014",64569,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",66,96,-30,"L","199:56","27","77","35.1","4","19","21.1","8","11","72.7","23","13","36","12","12","1","4","4","20","13","66","4","5","0","23","38"
"2014",64570,"Sydney Uni Flames","Flames","home","West Coast Waves","Waves",80,55,25,"W","199:52","33","74","44.6","6","13","46.2","8","8","100","27","12","39","16","14","10","7","5","15","13","80","20","10","0","41","34"
"2014",64570,"West Coast Waves","Waves","away","Sydney Uni Flames","Flames",55,80,-25,"L","199:56","18","62","29","6","20","30","13","14","92.9","24","9","33","9","19","5","5","7","14","15","55","6","6","0","16","24"
"2014",64571,"Townsville Fire","Fire","home","Dandenong Rangers","Rangers",87,92,-5,"L","199:57","35","77","45.5","4","19","21.1","13","15","86.7","30","8","38","22","15","2","4","3","15","18","87","10","4","0","19","46"
"2014",64571,"Dandenong Rangers","Rangers","away","Townsville Fire","Fire",92,87,5,"W","199:56","38","79","48.1","10","21","47.6","6","12","50","27","11","38","12","12","4","3","4","18","15","92","11","6","0","6","32"
"2014",64572,"Bendigo Spirit","Spirit","home","Adelaide Lightning","Lightning",75,64,11,"W","199:54","29","72","40.3","5","18","27.8","12","17","70.6","16","17","33","22","11","8","6","1","16","21","75","16","16","2","17","36"
"2014",64572,"Adelaide Lightning","Lightning","away","Bendigo Spirit","Spirit",64,75,-11,"L","199:57","23","54","42.6","4","15","26.7","14","14","100","22","5","27","11","18","3","1","6","21","16","64","10","4","0","21","24"
"2014",64573,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",69,66,3,"W","199:54","24","64","37.5","6","19","31.6","15","22","68.2","30","8","38","13","9","4","3","2","18","23","69","7","4","0","6","24"
"2014",64573,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",66,69,-3,"L","199:54","24","68","35.3","6","26","23.1","12","17","70.6","29","12","41","13","9","3","2","3","23","18","66","11","4","0","16","18"
"2014",64574,"Adelaide Lightning","Lightning","home","Townsville Fire","Fire",75,98,-23,"L","199:57","28","67","41.8","6","19","31.6","13","14","92.9","26","8","34","11","19","4","0","3","17","17","75","10","2","0","20","32"
"2014",64574,"Townsville Fire","Fire","away","Adelaide Lightning","Lightning",98,75,23,"W","199:54","36","73","49.3","11","21","52.4","15","19","78.9","26","7","33","20","10","8","3","0","17","17","98","18","10","0","27","30"
"2014",64575,"Dandenong Rangers","Rangers","home","Bendigo Spirit","Spirit",89,82,7,"W","199:57","37","76","48.7","4","14","28.6","11","11","100","26","10","36","17","13","5","4","4","21","17","89","8","4","6","12","46"
"2014",64575,"Bendigo Spirit","Spirit","away","Dandenong Rangers","Rangers",82,89,-7,"L","199:55","29","74","39.2","7","23","30.4","17","22","77.3","25","13","38","15","11","4","4","4","17","21","82","11","7","0","9","32"
"2014",64576,"Sydney Uni Flames","Flames","home","Melbourne Boomers","Boomers",88,73,15,"W","199:54","32","63","50.8","11","18","61.1","13","15","86.7","18","8","26","15","15","10","7","1","15","13","88","21","8","0","24","32"
"2014",64576,"Melbourne Boomers","Boomers","away","Sydney Uni Flames","Flames",73,88,-15,"L","199:56","29","67","43.3","6","15","40","9","12","75","24","18","42","15","23","2","1","7","13","14","73","12","7","0","6","34"
"2014",64577,"West Coast Waves","Waves","home","Townsville Fire","Fire",72,92,-20,"L","192:21","29","65","44.6","7","19","36.8","7","13","53.8","24","6","30","11","14","3","1","4","11","22","72","5","4","0","23","34"
"2014",64577,"Townsville Fire","Fire","away","West Coast Waves","Waves",92,72,20,"W","199:55","38","74","51.4","10","22","45.5","6","9","66.7","28","9","37","23","10","2","4","1","22","11","92","19","12","0","24","34"
"2014",64578,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",70,73,-3,"L","199:55","25","58","43.1","5","13","38.5","15","19","78.9","23","10","33","13","16","9","3","4","21","19","70","15","7","2","7","22"
"2014",64578,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",73,70,3,"W","199:55","24","66","36.4","9","25","36","16","17","94.1","22","12","34","12","16","4","4","3","19","20","73","8","4","0","7","20"
"2014",64579,"Dandenong Rangers","Rangers","home","Adelaide Lightning","Lightning",95,64,31,"W","199:54","36","74","48.6","8","16","50","15","17","88.2","32","9","41","25","8","9","2","1","21","16","95","14","14","6","23","40"
"2014",64579,"Adelaide Lightning","Lightning","away","Dandenong Rangers","Rangers",64,95,-31,"L","199:55","21","65","32.3","5","23","21.7","17","27","63","23","15","38","15","15","2","1","2","16","21","64","5","14","2","31","30"
"2014",64580,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",66,74,-8,"L","199:57","24","67","35.8","8","18","44.4","10","12","83.3","14","9","23","12","9","7","0","7","17","18","66","9","6","2","17","22"
"2014",64580,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",74,66,8,"W","199:54","27","54","50","5","14","35.7","15","16","93.8","30","11","41","18","17","3","7","0","18","17","74","6","7","0","10","28"
"2014",64581,"Townsville Fire","Fire","home","Sydney Uni Flames","Flames",93,60,33,"W","199:54","36","73","49.3","6","19","31.6","15","19","78.9","30","12","42","18","18","8","4","1","13","21","93","25","12","0","33","48"
"2014",64581,"Sydney Uni Flames","Flames","away","Townsville Fire","Fire",60,93,-33,"L","199:56","22","67","32.8","7","21","33.3","9","12","75","20","10","30","14","21","6","1","5","21","13","60","8","8","0","25","24"
"2014",64582,"West Coast Waves","Waves","home","Bendigo Spirit","Spirit",55,80,-25,"L","199:54","23","68","33.8","3","13","23.1","6","11","54.5","24","13","37","13","14","8","3","2","11","18","55","10","10","0","24","34"
"2014",64582,"Bendigo Spirit","Spirit","away","West Coast Waves","Waves",80,55,25,"W","199:56","30","61","49.2","7","18","38.9","13","15","86.7","35","7","42","17","15","6","2","3","18","11","80","14","6","2","17","40"
"2014",64583,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",71,79,-8,"L","199:57","25","64","39.1","8","27","29.6","13","14","92.9","17","6","23","12","15","7","8","2","21","18","71","13","3","0","9","24"
"2014",64583,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",79,71,8,"W","199:56","30","58","51.7","5","15","33.3","14","22","63.6","27","7","34","11","16","6","2","8","18","21","79","13","4","2","25","32"
"2014",64584,"Dandenong Rangers","Rangers","home","West Coast Waves","Waves",87,80,7,"W","199:55","30","69","43.5","3","20","15","24","24","100","27","9","36","15","5","9","0","1","20","18","87","17","6","6","14","40"
"2014",64584,"West Coast Waves","Waves","away","Dandenong Rangers","Rangers",80,87,-7,"L","199:56","26","63","41.3","11","32","34.4","17","23","73.9","28","8","36","17","15","2","1","0","18","20","80","2","7","0","21","22"
"2014",64585,"Sydney Uni Flames","Flames","home","Bendigo Spirit","Spirit",83,95,-12,"L","199:56","31","70","44.3","12","22","54.5","9","12","75","19","10","29","22","12","3","2","5","21","13","83","7","8","0","16","24"
"2014",64585,"Bendigo Spirit","Spirit","away","Sydney Uni Flames","Flames",95,83,12,"W","199:56","35","67","52.2","3","16","18.8","22","28","78.6","29","12","41","20","8","5","5","2","13","21","95","16","9","0","24","50"
"2014",64586,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire",69,88,-19,"L","184:55","27","66","40.9","11","22","50","4","6","66.7","23","4","27","10","18","4","4","4","19","15","69","20","2","2","7","16"
"2014",64586,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers",88,69,19,"W","199:56","35","72","48.6","3","9","33.3","15","19","78.9","33","13","46","11","17","7","4","4","15","19","88","19","6","12","19","40"
"2014",64587,"Adelaide Lightning","Lightning","home","West Coast Waves","Waves",71,58,13,"W","199:55","27","65","41.5","6","18","33.3","11","20","55","23","8","31","19","12","10","1","1","15","18","71","21","6","0","19","32"
"2014",64587,"West Coast Waves","Waves","away","Adelaide Lightning","Lightning",58,71,-13,"L","199:55","23","61","37.7","3","22","13.6","9","14","64.3","26","9","35","6","17","5","1","1","18","15","58","10","6","2","19","30"
"2014",64588,"Bendigo Spirit","Spirit","home","Townsville Fire","Fire",66,55,11,"W","199:54","23","55","41.8","5","16","31.3","15","17","88.2","26","8","34","14","23","10","0","3","13","21","66","4","6","2","17","28"
"2014",64588,"Townsville Fire","Fire","away","Bendigo Spirit","Spirit",55,66,-11,"L","199:55","20","62","32.3","4","16","25","11","15","73.3","22","8","30","10","17","14","3","0","21","13","55","14","2","2","8","20"
"2014",64589,"Adelaide Lightning","Lightning","home","Sydney Uni Flames","Flames",72,60,12,"W","199:55","25","56","44.6","5","12","41.7","17","30","56.7","34","10","44","17","23","6","3","3","21","24","72","13","8","0","26","40"
"2014",64589,"Sydney Uni Flames","Flames","away","Adelaide Lightning","Lightning",60,72,-12,"L","199:56","21","71","29.6","3","20","15","15","21","71.4","20","12","32","15","12","10","3","3","24","21","60","21","2","0","28","28"
"2014",64590,"Townsville Fire","Fire","home","UC Capitals","Capitals",94,67,27,"W","199:56","33","58","56.9","9","19","47.4","19","23","82.6","32","7","39","20","17","3","4","0","16","22","94","12","11","0","14","44"
"2014",64590,"UC Capitals","Capitals","away","Townsville Fire","Fire",67,94,-27,"L","199:55","25","69","36.2","6","25","24","11","14","78.6","18","10","28","13","12","8","0","4","22","15","67","7","5","0","9","26"
"2014",64591,"Melbourne Boomers","Boomers","home","Dandenong Rangers","Rangers",88,76,12,"W","199:56","33","69","47.8","9","14","64.3","13","14","92.9","26","12","38","17","16","7","4","2","15","15","88","16","8","2","20","38"
"2014",64591,"Dandenong Rangers","Rangers","away","Melbourne Boomers","Boomers",76,88,-12,"L","199:53","30","69","43.5","6","16","37.5","10","14","71.4","20","11","31","16","16","14","2","4","15","15","76","11","9","2","6","26"
