"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","s_points_from_turnovers","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2014",64527,"Bendigo Spirit","Spirit","away","Gabrielle","Richards","G",,"G. Richards","","1","21:18","8","0","0","0","8","4","12","33","0","0","0","4","12","33","0","0","0","4","5","9","0","1","0","1","3","3","1"
"2014",64527,"Bendigo Spirit","Spirit","away","Kelly","Wilson","K",,"K. Wilson","","0","21:01","12","10","5","0","2","4","8","50","2","5","40","2","3","66","2","2","100","1","1","2","2","0","2","1","0","3","2"
"2014",64527,"Bendigo Spirit","Spirit","away","Kelsey","Griffin","K",,"K. Griffin","","1","31:37","11","2","0","2","2","2","10","20","0","1","0","2","9","22","7","8","87","3","3","6","0","5","0","2","2","3","7"
"2014",64527,"Bendigo Spirit","Spirit","away","Jane","Chalmers","J",,"J. Chalmers","","0","02:21","2","0","0","0","0","1","1","100","0","0","0","1","1","100","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Tegan","Cunningham","T",,"T. Cunningham","","0","24:17","2","0","0","2","0","1","6","16","0","1","0","1","5","20","0","0","0","7","0","7","1","2","1","0","0","3","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Annalise","Pickrel","A",,"A. Pickrel","","1","24:52","9","2","0","0","4","4","9","44","0","0","0","4","9","44","1","1","100","2","0","2","0","1","2","1","0","2","1"
"2014",64528,"Dandenong Rangers","Rangers","home","Aimie","Clydesdale","A",,"A. Clydesdale","","0","10:22","2","2","0","0","2","1","6","16","0","2","0","1","4","25","0","0","0","1","0","1","0","1","0","0","0","1","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Penny","Taylor","P",,"P. Taylor","","1","34:11","21","7","0","0","2","7","13","53","4","8","50","3","5","60","3","3","100","4","1","5","4","5","1","1","1","2","4"
"2014",64528,"Dandenong Rangers","Rangers","home","Rachel","Antoniadou","R",,"R. Antoniadou","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Alice","Kunek","A",,"A. Kunek","","1","24:24","9","0","2","0","2","3","7","42","1","4","25","2","3","66","2","2","100","2","2","4","1","4","0","0","0","5","3"
"2014",64528,"Dandenong Rangers","Rangers","home","Lauren","Scherf","L",,"L. Scherf","","0","20:09","11","2","2","0","6","5","8","62","1","1","100","4","7","57","0","0","0","4","2","6","0","0","0","2","1","2","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Teyla","Evans","T",,"T. Evans","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64528,"Dandenong Rangers","Rangers","home","Chloe","Bibby","C",,"C. Bibby","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
