"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2016",311829,"Townsville Fire","Fire","home","Chevannah","Paalvast","C","P","C. Paalvast","","0","03:37","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","-5"
"2016",311829,"Townsville Fire","Fire","home","Kelly","Wilson","K","W","K. Wilson","","1","22:24","3","0","0","0","0","0","0","0","0","0","0","0","0","3","4","75","3","1","4","3","3","0","0","0","2","2","-18"
"2016",311829,"Townsville Fire","Fire","home","Micaela","Cocks","M","C","M. Cocks","","1","34:06","10","0","0","4","4","10","40","2","6","33","2","4","50","0","0","0","0","0","0","1","1","0","0","0","3","1","-12"
"2016",311829,"Townsville Fire","Fire","home","Kayla","Standish","K","S","K. Standish","","1","22:11","6","0","0","4","3","11","27","0","0","0","3","11","27","0","0","0","5","1","6","0","2","0","2","1","2","1","-9"
"2016",311829,"Bendigo Spirit","Spirit","away","Blake","Dietrick","B","D","B. Dietrick","","0","19:53","2","0","0","0","0","3","0","0","2","0","0","1","0","2","2","100","1","2","3","1","0","1","0","0","3","2","10"
"2016",311829,"Bendigo Spirit","Spirit","away","Kerryn","Harrington","K","H","K. Harrington","","1","30:49","13","2","0","2","4","10","40","2","8","25","2","2","100","3","4","75","4","0","4","1","1","1","0","0","2","2","11"
"2016",311829,"Bendigo Spirit","Spirit","away","Heather","Oliver","H","O","H. Oliver","","0","15:48","6","0","0","2","2","7","28","0","1","0","2","6","33","2","2","100","1","2","3","2","0","0","0","1","0","1","-4"
"2016",311829,"Bendigo Spirit","Spirit","away","Nayo","Raincock-Ekunwe","N","R","N. Raincock-Ekunwe","","1","27:15","14","1","0","8","4","6","66","0","0","0","4","6","66","6","8","75","8","2","10","2","1","0","0","1","3","5","4"
"2016",311829,"Bendigo Spirit","Spirit","away","Ashleigh","Spencer","A","S","A. Spencer","","0","00:54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1"
"2016",311829,"Bendigo Spirit","Spirit","away","Nadeen","Payne","N","P","N. Payne","","0","21:10","9","5","0","4","2","5","40","0","1","0","2","4","50","5","6","83","5","0","5","0","2","1","0","0","5","4","6"
"2016",311829,"Bendigo Spirit","Spirit","away","Gabrielle","Richards","G","R","G. Richards","","1","22:20","8","0","0","6","4","8","50","0","0","0","4","8","50","0","2","0","7","1","8","3","2","0","2","3","2","2","10"
"2016",311829,"Bendigo Spirit","Spirit","away","Ashleigh","Karaitiana","A","K","A. Karaitiana","","1","30:46","10","0","0","10","5","12","41","0","4","0","5","8","62","0","0","0","3","4","7","3","2","0","1","0","3","2","17"
"2016",311829,"Bendigo Spirit","Spirit","away","Kelsey","Griffin","K","G","K. Griffin","","1","31:00","12","6","2","6","5","13","38","1","3","33","4","10","40","1","4","25","3","6","9","2","2","1","1","0","1","3","7"
"2016",311830,"Perth Lynx","Lynx","home","Tessa","Lavey","T","L","T. Lavey","","1","31:16","14","0","2","4","5","11","45","2","6","33","3","5","60","2","2","100","2","0","2","3","3","4","0","0","2","1","27"
"2016",311830,"Perth Lynx","Lynx","home","Antonia","Edmondson","A","E","A. Edmondson","","1","26:42","13","0","2","8","5","17","29","1","4","25","4","13","30","2","2","100","4","1","5","6","3","0","0","1","2","1","20"
"2016",311830,"Perth Lynx","Lynx","home","Natalie","Burton","N","B","N. Burton","","0","26:01","4","2","0","4","2","5","40","0","0","0","2","5","40","0","0","0","0","4","4","0","0","0","1","0","3","1","3"
"2016",311830,"Perth Lynx","Lynx","home","Carley","Mijovic","C","M","C. Mijovic","","1","27:24","19","0","3","4","6","13","46","4","9","44","2","4","50","3","4","75","6","0","6","1","0","0","0","0","4","3","31"
"2016",311830,"Perth Lynx","Lynx","home","Ashleigh","Grant","A","G","A. Grant","","0","12:16","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","1","2","0","0","0","1","0","0","3","1"
"2016",311830,"Perth Lynx","Lynx","home","Courtney","Byrnes","C","B","C. Byrnes","","0","08:45","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","-11"
"2016",311830,"Perth Lynx","Lynx","home","Sami","Whitcomb","S","W","S. Whitcomb","","1","25:01","29","5","6","16","12","19","63","4","7","57","8","12","66","1","2","50","4","2","6","9","1","2","0","0","2","4","44"
"2016",311830,"Perth Lynx","Lynx","home","Tenaya","Phillips","T","P","T. Phillips","","0","10:01","4","0","0","0","2","4","50","0","0","0","2","4","50","0","0","0","2","2","4","2","0","1","0","0","0","0","9"
"2016",311830,"Perth Lynx","Lynx","home","Kisha","Lee","K","L","K. Lee","","0","05:11","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","2","1","3","1","0","0","0","0","0","1","6"
"2016",311830,"Perth Lynx","Lynx","home","Ruth","Hamblin","R","H","R. Hamblin","","1","27:19","12","6","0","10","5","8","62","0","0","0","5","8","62","2","3","66","8","2","10","1","2","1","1","1","1","3","30"
"2016",311830,"Adelaide Lightning","Lightning","away","Jordan","Hunter","J","H","J. Hunter","","1","12:40","2","0","0","2","1","4","25","0","1","0","1","3","33","0","0","0","1","0","1","1","1","0","0","0","0","1","-27"
"2016",311830,"Adelaide Lightning","Lightning","away","Shannon","McKay","S","M","S. McKay","","0","08:41","0","0","0","0","0","4","0","0","3","0","0","1","0","0","0","0","0","1","1","0","2","0","0","0","1","0","-4"
"2016",311830,"Adelaide Lightning","Lightning","away","Sarah","Elsworthy","S","E","S. Elsworthy","","0","17:23","6","2","0","2","2","4","50","0","0","0","2","4","50","2","3","66","2","0","2","0","2","1","0","0","3","2","-12"
